Time [s],AirCon Power [kW],Ambient Temperature Sensor [°C],Ambient Temperature [°C],Battery Current [A],Battery Temperature [°C],Battery Voltage [V],Cabin Temperature Sensor [°C],Coolant Temperature Heatercore [°C],Coolant Temperature Inlet [°C],Coolant Volume Flow +500 [l/h],Elevation [m],Heat Exchanger Temperature [°C],Heater Current [A],Heater Signal,Heater Voltage [V],Heating Power CAN [kW],Heating Power LIN [W],Longitudinal Acceleration [m/s^2],Motor Torque [Nm],Regenerative Braking Signal,Requested Coolant Temperature [°C],Requested Heating Power [W],SoC [%],Temperature Coolant Heater Inlet [°C],Temperature Coolant Heater Outlet [°C],Temperature Defrost central [°C],Temperature Defrost central left [°C],Temperature Defrost central right [°C],Temperature Defrost lateral left [°C],Temperature Defrost lateral right [°C],Temperature Feetvent Co-Driver [°C],Temperature Feetvent Driver [°C],Temperature Footweel Co-Driver [°C],Temperature Footweel Driver [°C],Temperature Head Co-Driver [°C],Temperature Head Driver [°C],Temperature Heat Exchanger Outlet [°C],Temperature Vent central left [°C],Temperature Vent central right [°C],Temperature Vent right [°C],Throttle [%],Velocity [km/h],displayed SoC [%],max. Battery Temperature [°C],max. SoC [%],min. SoC [%]
0,0.20000000000000004,,24.5,-18.785,27.0,380.6000000000001,22.0,,,,574.0,9.5,,1.0,,1.5200000000000002,,0.545,35.916666666666664,0.0,85.0,1721.7783333333334,66.7,,,,,,,,,,,,,,,,,,37.21,14.608333333333334,78.5,28.0,90,8
1,0.2,,24.5,-17.426666666666666,27.0,380.63666666666666,22.0,,,,574.0,9.5,,1.0,,1.52,,0.4244444444444444,29.10777777777778,0.0,85.0,1763.5544444444445,66.7,,,,,,,,,,,,,,,,,,36.511111111111106,15.323333333333332,78.5,28.0,90,8
2,0.2,,24.5,-20.28909090909091,27.0,380.44363636363636,22.0,,,,574.0,9.5,,1.0,,1.5199999999999998,,0.44181818181818183,35.66818181818182,0.0,85.0,1814.6636363636362,66.7,,,,,,,,,,,,,,,,,,39.39909090909091,15.88,78.5,28.0,90,8
3,0.18888888888888888,,24.5,-43.827777777777776,27.0,378.82666666666665,22.0,,,,574.0,9.5,,1.0,,1.52,,1.1888888888888889,84.75111111111111,0.0,85.0,1840.0,66.7,,,,,,,,,,,,,,,,,,47.01555555555555,17.952222222222222,78.5,28.0,90,8
4,0.17454545454545453,,24.5,-56.15090909090909,27.0,377.7745454545455,22.0,,,,574.0,9.5,,1.0,,1.5199999999999998,,1.239090909090909,95.5281818181818,0.0,85.0,1861.9336363636364,66.6,,,,,,,,,,,,,,,,,,45.41909090909091,22.717272727272725,78.5,28.0,90,8
5,0.17,,24.5,-70.81888888888889,27.0,376.69888888888886,22.002222222222223,,,,574.0,9.5,,1.0,,1.52,,1.3855555555555557,100.69999999999999,0.0,85.0,1911.2511111111114,66.6,,,,,,,,,,,,,,,,,,52.41555555555556,27.033333333333335,78.5,28.0,90,8
6,0.2081818181818182,,24.5,-107.78636363636365,27.0,373.89,22.115454545454547,,,,574.0,9.5,,1.0,,1.5199999999999998,,2.1281818181818184,134.4,0.0,85.0,1957.3863636363637,66.6,,,,,,,,,,,,,,,,,,56.78454545454545,33.47909090909091,78.5,28.0,90,8
7,0.23222222222222222,,24.5,-84.30777777777777,27.0,374.91555555555556,22.17,,,,574.0,9.5,,1.0,,1.52,,1.4733333333333334,89.09444444444443,0.0,85.0,1927.2888888888888,66.5,,,,,,,,,,,,,,,,,,42.404444444444444,40.32111111111111,78.0,28.0,90,8
8,0.2081818181818182,,24.5,-3.8445454545454543,27.0,380.1945454545455,22.17,,,,574.0,9.5,,1.0,,1.5199999999999998,,-0.2509090909090909,-2.8436363636363633,0.0,85.0,1767.3436363636363,66.5,,,,,,,,,,,,,,,,,,20.555454545454545,42.11181818181819,78.0,28.0,90,8
9,0.21,,24.5,8.492222222222221,27.0,381.36333333333334,22.17,,,,574.0,9.5,,1.0,,1.52,,-0.46888888888888897,-18.386666666666667,0.0,85.0,1804.528888888889,66.5,,,,,,,,,,,,,,,,,,22.045555555555556,40.794444444444444,78.0,28.0,90,8
10,0.21909090909090911,,24.5,3.348181818181818,27.0,381.1418181818182,22.17,,,,574.0,9.5,,1.0,,1.5199999999999998,,-0.35454545454545455,-12.312727272727273,0.0,85.0,1840.0,66.5,,,,,,,,,,,,,,,,,,24.599090909090908,39.70454545454545,78.0,28.0,90,8
11,0.23000000000000004,,24.5,-1.3833333333333333,27.0,380.9611111111111,22.17,,,,574.0,9.5,,1.0,,1.52,,-0.12333333333333335,-6.895555555555556,0.0,85.0,1840.0,66.5,,,,,,,,,,,,,,,,,,26.483333333333334,39.105555555555554,78.0,28.0,90,8
12,0.2381818181818182,,24.5,-2.6018181818181816,27.0,380.8836363636364,22.17,,,,574.0,9.5,,1.0,,1.5199999999999998,,-0.2072727272727273,-5.53,0.0,85.0,1877.369090909091,66.5,,,,,,,,,,,,,,,,,,27.29,38.72272727272727,78.0,28.0,90,8
