Time [s],AirCon Power [kW],Ambient Temperature Sensor [°C],Ambient Temperature [°C],Battery Current [A],Battery Temperature [°C],Battery Voltage [V],Cabin Temperature Sensor [°C],Coolant Temperature Heatercore [°C],Coolant Temperature Inlet [°C],Coolant Volume Flow +500 [l/h],Elevation [m],Heat Exchanger Temperature [°C],Heater Current [A],Heater Signal,Heater Voltage [V],Heating Power CAN [kW],Heating Power LIN [W],Longitudinal Acceleration [m/s^2],Motor Torque [Nm],Regenerative Braking Signal,Requested Coolant Temperature [°C],Requested Heating Power [W],SoC [%],Temperature Coolant Heater Inlet [°C],Temperature Coolant Heater Outlet [°C],Temperature Defrost central [°C],Temperature Defrost central left [°C],Temperature Defrost central right [°C],Temperature Defrost lateral left [°C],Temperature Defrost lateral right [°C],Temperature Feetvent Co-Driver [°C],Temperature Feetvent Driver [°C],Temperature Footweel Co-Driver [°C],Temperature Footweel Driver [°C],Temperature Head Co-Driver [°C],Temperature Head Driver [°C],Temperature Heat Exchanger Outlet [°C],Temperature Vent central left [°C],Temperature Vent central right [°C],Temperature Vent right [°C],Throttle [%],Velocity [km/h],displayed SoC [%],max. Battery Temperature [°C],max. SoC [%],min. SoC [%]
0.0,0,,22.0,-1.5,19.0,391.4,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.01,0.0,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,0.0,0.0,100.0,20.0,89.5,8
0.1,0,,22.0,-1.64,19.0,391.35,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.01,0.0,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,0.0,0.0,100.0,20.0,89.5,8
0.2,0,,22.0,-1.79,19.0,391.3,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.03,0.0,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,0.0,0.0,100.0,20.0,89.5,8
0.3,0,,22.0,-1.8,19.0,391.3,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.02,0.0,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,0.0,0.0,100.0,20.0,89.5,8
0.4,0,,22.0,-1.8,19.0,391.3,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.01,0.0,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,0.0,0.0,100.0,20.0,89.5,8
0.5,0,,22.0,-1.8,19.0,391.3,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.02,0.0,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,0.0,0.0,100.0,20.0,89.5,8
0.6,0,,22.0,-1.8,19.0,391.3,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.01,0.0,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,0.0,0.0,100.0,20.0,89.5,8
0.7,0,,22.0,-1.75,19.0,391.3,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.01,0.0,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,0.0,0.0,100.0,20.0,89.5,8
0.8,0,,22.0,-1.7,19.0,391.3,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.01,0.0,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,0.0,0.0,100.0,20.0,89.5,8
0.9,0,,22.0,-1.89,19.0,391.3,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,-0.01,0.0,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,2.94,0.0,100.0,20.0,89.5,8
1.0,0,,22.0,-2.09,19.0,391.3,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.06,1.29,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,6.97,0.0,100.0,20.0,89.5,8
1.1,0,,22.0,-2.29,19.0,391.3,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.14,3.12,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,10.95,0.0,100.0,20.0,89.5,8
1.2,0,,22.0,-2.49,19.0,391.3,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.15,10.91,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,12.07,0.0,100.0,20.0,89.5,8
1.3,0,,22.0,-2.69,19.0,391.25,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.15,13.0,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,14.23,0.0,100.0,20.0,89.5,8
1.4,0,,22.0,-2.89,19.0,391.2,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.26,17.82,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,17.72,0.0,100.0,20.0,89.5,8
1.5,0,,22.0,-3.18,19.0,391.2,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.42,24.62,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,18.98,0.0,100.0,20.0,89.5,8
1.6,0,,22.0,-3.48,19.0,391.2,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.49,31.12,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,19.58,0.0,100.0,20.0,89.5,8
1.7,0,,22.0,-3.83,19.0,391.15,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.52,36.91,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,21.06,0.3,100.0,20.0,89.5,8
1.8,0,,22.0,-4.18,19.0,391.1,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.58,41.5,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,21.0,0.6,100.0,20.0,89.5,8
1.9,0,,22.0,-4.67,19.0,391.1,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.68,47.21,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,21.0,0.74,100.0,20.0,89.5,8
2.0,0,,22.0,-5.17,19.0,391.1,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.7,49.79,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,21.0,1.06,100.0,20.0,89.5,8
2.1,0,,22.0,-5.48,19.0,391.05,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.66,52.0,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,20.7,1.28,100.0,20.0,89.5,8
2.2,0,,22.0,-5.78,19.0,391.0,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.68,53.71,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,20.55,1.54,100.0,20.0,89.5,8
2.3,0,,22.0,-5.99,19.0,390.95,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.67,54.5,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,19.79,1.79,100.0,20.0,89.5,8
2.4,0,,22.0,-6.19,19.0,390.9,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.64,53.41,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,18.98,2.07,100.0,20.0,89.5,8
2.5,0,,22.0,-6.25,19.0,390.9,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.62,52.59,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,18.98,2.31,100.0,20.0,89.5,8
2.6,0,,22.0,-6.3,19.0,390.9,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.53,52.21,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,19.13,2.57,100.0,20.0,89.5,8
2.7,0,,22.0,-6.39,19.0,390.9,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.49,51.0,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,19.3,2.8,100.0,20.0,89.5,8
2.8,0,,22.0,-6.49,19.0,390.9,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.52,49.91,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,19.89,2.99,100.0,20.0,89.5,8
2.9,0,,22.0,-6.55,19.0,390.9,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.48,48.38,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,22.06,3.19,100.0,20.0,89.5,8
3.0,0,,22.0,-6.6,19.0,390.9,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.47,48.29,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,22.88,3.4,100.0,20.0,89.5,8
3.1,0,,22.0,-6.93,19.0,390.85,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.48,49.71,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,23.77,3.57,100.0,20.0,89.5,8
3.2,0,,22.0,-7.28,19.0,390.8,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.48,50.41,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,25.24,3.76,100.0,20.0,89.5,8
3.3,0,,22.0,-7.86,19.0,390.75,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.52,53.0,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,26.4,3.93,100.0,20.0,89.5,8
3.4,0,,22.0,-8.46,19.0,390.7,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.54,56.0,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,28.82,4.15,100.0,20.0,89.5,8
3.5,0,,22.0,-9.99,19.0,390.61,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.56,60.41,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,31.61,4.36,100.0,20.0,89.5,8
3.6,0,,22.0,-11.59,19.0,390.51,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.68,69.82,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,31.7,4.59,100.0,20.0,89.5,8
3.7,0,,22.0,-12.45,19.0,390.41,39.84,57.0,58.0,,576.0,29.5,0,1,393.63,0.0,0,0.77,80.11,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,31.19,4.91,100.0,20.0,89.5,8
3.8,0,,22.0,-13.25,19.0,390.31,39.84,57.0,58.0,,576.0,29.5,0,1,393.13,0.0,0,0.7,84.21,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,30.39,5.26,100.0,20.0,89.5,8
3.9,0,,22.0,-13.39,19.0,390.3,39.84,57.0,58.0,,576.0,29.5,0,1,393.0,0.0,0,0.68,81.38,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,29.55,5.54,100.0,20.0,89.5,8
4.0,0,,22.0,-13.49,19.0,390.3,39.84,57.0,58.0,,576.0,29.5,0,1,393.0,0.0,0,0.67,79.59,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,27.71,5.88,100.0,20.0,89.5,8
4.1,0,,22.0,-12.75,19.0,390.35,39.84,57.0,58.0,,576.0,29.5,0,1,393.0,0.0,0,0.63,76.68,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,27.08,6.14,100.0,20.0,89.5,8
4.2,0,,22.0,-11.95,19.0,390.4,39.84,57.0,58.0,,576.0,29.5,0,1,393.0,0.0,0,0.49,66.79,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,26.9,6.44,100.0,20.0,89.5,8
4.3,0,,22.0,-10.73,19.0,390.49,39.84,57.0,58.0,,576.0,29.5,0,1,393.37,0.0,0,0.41,60.68,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,26.05,6.67,100.0,20.0,89.5,8
4.4,0,,22.0,-9.48,19.0,390.59,39.84,57.0,58.0,,576.0,29.5,0,1,393.87,0.0,0,0.38,50.38,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,25.65,6.83,100.0,20.0,89.5,8
4.5,0,,22.0,-8.05,19.0,390.69,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.29,40.38,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,25.72,6.94,100.0,20.0,89.5,8
4.6,0,,22.0,-6.6,19.0,390.79,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.19,31.68,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,25.83,7.03,100.0,20.0,89.5,8
4.7,0,,22.0,-5.75,19.0,390.89,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.14,25.88,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,25.83,7.06,100.0,20.0,89.5,8
4.8,0,,22.0,-4.95,19.0,390.99,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.09,21.47,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,25.65,7.09,100.0,20.0,89.5,8
4.9,0,,22.0,-4.48,19.0,391.05,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.05,17.29,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,25.65,7.08,100.0,20.0,89.5,8
5.0,0,,22.0,-4.03,19.0,391.1,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.07,14.0,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,25.5,7.08,100.0,20.0,89.5,8
5.1,0,,22.0,-3.67,19.0,391.1,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.03,10.5,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,25.03,7.04,100.0,20.0,89.5,8
5.2,0,,22.0,-3.32,19.0,391.1,39.84,57.0,58.0,,576.0,29.5,0,1,394.0,0.0,0,0.0,8.8,0.0,85,0,86.2,,,,,,,,,,,,,,,,,,24.07,7.09,100.0,20.0,89.5,8
