Time [s],AirCon Power [kW],Ambient Temperature Sensor [°C],Ambient Temperature [°C],Battery Current [A],Battery Temperature [°C],Battery Voltage [V],Cabin Temperature Sensor [°C],Coolant Temperature Heatercore [°C],Coolant Temperature Inlet [°C],Coolant Volume Flow +500 [l/h],Elevation [m],Heat Exchanger Temperature [°C],Heater Current [A],Heater Signal,Heater Voltage [V],Heating Power CAN [kW],Heating Power LIN [W],Longitudinal Acceleration [m/s^2],Motor Torque [Nm],Regenerative Braking Signal,Requested Coolant Temperature [°C],Requested Heating Power [W],SoC [%],Temperature Coolant Heater Inlet [°C],Temperature Coolant Heater Outlet [°C],Temperature Defrost central [°C],Temperature Defrost central left [°C],Temperature Defrost central right [°C],Temperature Defrost lateral left [°C],Temperature Defrost lateral right [°C],Temperature Feetvent Co-Driver [°C],Temperature Feetvent Driver [°C],Temperature Footweel Co-Driver [°C],Temperature Footweel Driver [°C],Temperature Head Co-Driver [°C],Temperature Head Driver [°C],Temperature Heat Exchanger Outlet [°C],Temperature Vent central left [°C],Temperature Vent central right [°C],Temperature Vent right [°C],Temperature Vent right [°C].1,Throttle [%],Velocity [km/h],displayed SoC [%],max. Battery Temperature [°C],max. SoC [%],min. SoC [%]
0,0.0,3.5400000000000005,3.0,-1.1083333333333334,3.0,391.6000000000001,10.0,3.0,3.0,-500.10999999999996,500.0,5.0,0.0,1.0,394.0,0.0,0.0,-0.25,0.0,0.0,85.0,0.0,85.5,2.67,2.668333333333333,5.72,5.64,5.7250000000000005,4.94,4.415,2.935,2.93,3.98,3.98,8.586666666666666,9.848333333333334,2.93,4.593333333333333,4.155,5.291666666666667,5.468333333333334,0.0,0.0,100.0,4.0,88.5,8
1,0.0,3.54,3.0,-1.1166666666666667,3.0,391.6,10.0,3.0,3.0,-500.14666666666665,500.0,5.0,0.0,1.0,394.0,0.0,0.0,-0.24444444444444446,0.0,0.0,85.0,0.0,85.5,2.67,2.6166666666666667,5.72111111111111,5.64,5.782222222222222,4.94,4.474444444444445,2.99,2.93,3.98,3.981111111111111,8.474444444444444,10.020000000000001,2.93,4.647777777777778,4.211111111111111,5.345555555555555,5.526666666666667,0.0,0.0,100.0,4.0,88.5,8
2,0.0,3.5399999999999996,3.0,-1.1,3.0,391.6,10.0,3.0,3.0,-500.1890909090909,500.0,5.0,0.0,1.0,394.0,0.0,0.0,-0.2490909090909091,0.0,0.0,85.0,0.0,85.5,2.67,2.631818181818182,5.78090909090909,5.64,5.8127272727272725,4.94,4.559090909090909,3.02,2.933636363636364,3.98,4.039090909090909,8.421818181818182,10.081818181818182,2.930909090909091,4.732727272727273,4.242727272727273,5.37,5.55,0.0,0.0,100.0,4.0,88.5,8
3,0.0,3.54,3.0,-1.1,3.0,391.6,10.0,3.0,3.0,-500.19,500.0,5.0,0.0,1.0,394.0,0.0,0.0,-0.23555555555555557,0.0,0.0,85.0,0.0,85.5,2.67,2.67,5.81,5.641111111111111,5.868888888888889,4.94,4.59,3.02,2.9922222222222223,3.98,4.058888888888888,8.29888888888889,9.956666666666667,2.9811111111111113,4.76,4.297777777777778,5.37,5.55,0.0,0.0,100.0,4.0,88.5,8
4,0.0,3.5399999999999996,3.0,-1.1772727272727272,3.0,391.6,10.0,3.0,3.0,-500.19,500.0,5.0,0.0,1.0,394.0,0.0,0.0,-0.24545454545454548,0.0,0.0,85.0,0.0,85.5,2.7190909090909092,2.67,5.81,5.694545454545454,5.84,4.94,4.59,3.0727272727272723,2.9545454545454546,3.98,4.005454545454546,8.195454545454545,9.850909090909092,3.019090909090909,4.706363636363637,4.271818181818182,5.37,5.55,0.0,0.0,100.0,4.0,88.5,8
5,0.0,3.54,3.0,-1.2,3.0,391.6,10.0,3.0,3.0,-500.19,499.98333333333335,5.0,0.0,1.0,394.0,0.0,0.0,-0.2411111111111111,0.0,0.0,85.0,0.0,85.5,2.76,2.67,5.81,5.661111111111111,5.81,4.941111111111112,4.59,3.0455555555555556,2.93,3.98,4.04111111111111,8.233333333333333,9.83,2.966666666666667,4.68,4.297777777777778,5.37,5.55,0.0,0.0,100.0,4.0,88.5,8
6,0.0,3.5399999999999996,3.0,-1.2,3.0,391.6,10.0,3.0,3.0,-500.1581818181818,499.89,5.0,0.0,1.0,394.0,0.0,0.0,-0.2427272727272727,0.0,0.0,85.0,0.0,85.5,2.76,2.67,5.81,5.697272727272727,5.8127272727272725,4.999090909090909,4.59,3.02,2.93,3.98,4.06,8.30909090909091,9.832727272727272,2.98,4.68,4.2690909090909095,5.37,5.55,0.0,0.0,100.0,4.0,88.5,8
7,0.0,3.54,3.0,-1.2222222222222223,3.0,391.6,10.0,3.0,3.0,-500.10999999999996,499.7911111111111,5.0,0.0,1.0,394.0,0.0,0.0,-0.24444444444444446,0.0,0.0,85.0,0.0,85.5,2.76,2.67,5.81,5.7188888888888885,5.868888888888889,5.02,4.59,3.02,2.93,3.98,4.058888888888888,8.21,9.892222222222223,2.966666666666667,4.68,4.24,5.37,5.55,0.0,0.0,100.0,4.0,88.5,8
8,0.0,3.5399999999999996,3.0,-1.2181818181818183,3.0436363636363635,391.6,10.0,3.0,3.0,-288.31636363636363,499.7,5.0,0.0,1.0,394.0,0.0,0.0,-0.2545454545454545,0.0,0.0,85.0,0.0,85.5,2.76,2.67,5.81,5.664545454545455,5.84,5.017272727272727,4.59,3.0727272727272723,2.93,3.98,4.002727272727273,8.104545454545455,9.975454545454546,2.980909090909091,4.680909090909091,4.242727272727273,5.372727272727273,5.55,0.0,0.0,100.0,4.0,88.5,8
9,0.0,3.54,3.0,-1.2,3.9322222222222223,391.6,10.0,3.0,3.0,-0.31,499.59999999999997,5.0,0.0,1.0,394.0,0.0,0.0,-0.23333333333333334,0.0,0.0,85.0,0.0,85.5,2.76,2.67,5.81,5.698888888888889,5.81,4.961111111111112,4.59,3.0455555555555556,2.93,3.98,3.98,8.08222222222222,10.002222222222223,3.02,4.734444444444445,4.2988888888888885,5.433333333333334,5.55,0.0,0.0,100.0,4.0,88.5,8
10,0.0,3.5399999999999996,3.0,-1.2,3.091818181818182,391.6,10.0,3.0,3.0,-0.31,499.5,5.0,0.0,1.0,394.0,0.0,0.0,-0.23727272727272727,0.0,0.0,85.0,0.0,85.5,2.76,2.67,5.81,5.72,5.8127272727272725,4.94,4.59,3.02,2.93,3.98,3.982727272727273,8.142727272727273,10.066363636363636,2.9672727272727273,4.76,4.327272727272727,5.46,5.552727272727273,0.0,0.0,100.0,4.0,88.5,8
11,0.0,3.54,3.0,-1.2,3.8777777777777778,391.6,10.0,3.0,3.0,-0.33666666666666667,499.40000000000003,5.0,0.0,1.0,394.0,0.0,0.0,-0.2511111111111111,0.0,0.0,85.0,0.0,85.5,2.76,2.67,5.811111111111111,5.72,5.87,4.941111111111112,4.59,3.02,2.9322222222222223,3.98,4.04111111111111,8.174444444444443,10.151111111111112,2.93,4.76,4.267777777777777,5.46,5.614444444444445,0.0,0.0,100.0,4.0,88.5,8
12,0.0,3.5399999999999996,3.0,-1.2,3.0790909090909087,391.6,10.0,3.0,3.0,-0.34909090909090906,499.3,5.0,0.0,1.0,394.0,0.0,0.0,-0.2409090909090909,0.0,0.0,85.0,0.0,85.5,2.759090909090909,2.67,5.866363636363636,5.717272727272728,5.897272727272727,4.999090909090909,4.59,3.02,2.9936363636363637,3.98,4.057272727272727,8.292727272727273,10.167272727272728,2.93,4.759090909090909,4.242727272727273,5.457272727272727,5.64,0.0,0.0,100.0,4.0,88.5,8
