Time [s],Current [A],Voltage [V],Temperature [°C],SoC [%],HVAC,SegmentType
0,34.88272727272727,390.8081818181818,12.0,85.5,False,driving
1,36.50333333333333,391.0244444444445,12.0,85.5,False,driving
2,40.90636363636364,391.6972727272727,12.0,85.5,False,driving
3,28.446666666666665,390.5366666666666,12.0,85.5,False,driving
4,7.598181818181818,388.37545454545455,12.0,85.5,False,driving
5,-12.456666666666669,385.9755555555556,12.0,85.5,False,driving
6,-41.900909090909096,382.6572727272727,12.0,85.5,False,driving
7,-72.08555555555556,379.00111111111113,12.0,85.5,False,driving
8,-59.32727272727273,379.91,12.0,85.5,False,driving
9,-4.754444444444444,385.8622222222223,12.0,85.5,False,driving
10,-0.7700000000000002,386.75181818181824,12.0,85.5,False,driving
11,-15.48,385.1133333333333,12.0,85.5,False,driving
12,-19.439090909090908,384.6763636363636,12.0,85.5,False,driving
13,-21.622222222222224,384.4055555555556,12.0,85.5,False,driving
14,-21.26181818181818,384.34,12.0,85.5,False,driving
15,-18.28555555555556,384.6066666666667,12.0,85.5,False,driving
16,-11.539090909090907,385.4790909090909,12.0,85.5,False,driving
17,0.0877777777777777,386.8888888888889,12.0,85.5,False,driving
18,-0.4636363636363636,386.90090909090907,12.0,85.5,False,driving
19,-5.997777777777777,386.23333333333335,12.0,85.5,False,driving
20,-6.347272727272728,386.27818181818185,12.0,85.5,False,driving
21,-6.916666666666667,386.2088888888889,12.0,85.5,False,driving
22,-9.41090909090909,386.02272727272725,12.0,85.5,False,driving
23,-12.453333333333331,385.6633333333333,12.0,85.5,False,driving
24,-17.34,385.0254545454545,12.0,85.5,False,driving
25,-18.296666666666667,384.91,12.0,85.5,False,driving
26,-9.144545454545456,385.9245454545455,12.0,85.5,False,driving
27,10.055555555555555,388.0844444444445,12.0,85.5,False,driving
28,5.28,387.7863636363636,12.0,85.5,False,driving
29,-7.26111111111111,386.3877777777777,12.0,85.5,False,driving
30,-26.773636363636363,384.2845454545455,12.0,85.5,False,driving
31,-51.38111111111111,381.3022222222222,12.0,85.5,False,driving
32,-29.204545454545453,383.5072727272727,12.0,85.5,False,driving
33,-17.407777777777778,384.8377777777778,12.0,85.5,False,driving
34,-9.678181818181818,385.7754545454545,12.0,85.5,False,driving
35,-11.06111111111111,385.7055555555555,12.0,85.5,False,driving
36,-12.782727272727271,385.55727272727273,12.0,85.5,False,driving
37,-13.1,385.5777777777778,12.0,85.5,False,driving
38,-11.345454545454546,385.68545454545455,12.0,85.26,False,driving
39,-5.797777777777778,386.3133333333333,12.0,85.0,False,driving
40,-7.794545454545454,386.22545454545457,12.0,85.0,False,driving
41,-16.043333333333333,385.2655555555555,12.0,85.0,False,driving
42,-39.97181818181818,382.7309090909091,12.0,85.0,False,driving
43,-46.58111111111111,381.53333333333336,12.0,85.0,False,driving
44,-31.41181818181818,383.13818181818186,12.0,85.0,False,driving
45,-24.74333333333333,384.0022222222222,12.0,85.0,False,driving
46,-18.26727272727273,384.69545454545454,12.0,85.0,False,driving
47,-9.791111111111112,385.6088888888889,12.0,85.0,False,driving
48,2.1672727272727275,387.0127272727273,12.0,85.0,False,driving
49,3.051111111111111,387.32,12.0,85.0,False,driving
50,-4.341818181818182,386.55909090909086,12.0,85.0,False,driving
51,-11.761111111111113,385.6933333333333,12.0,85.0,False,driving
52,-21.94363636363636,384.5927272727273,12.0,85.0,False,driving
53,-49.66111111111111,381.50111111111113,12.0,85.0,False,driving
54,-78.93909090909091,377.9145454545455,12.0,85.0,False,driving
55,-77.3488888888889,377.7000000000001,12.0,85.0,False,driving
